PAB D-4R-CN-Ggaba                  [H]N(C(=O)C([H])([H])C([H])([H])[C@@]([H])(C#N)N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
PJE D-4S-cbxa-Ggaba                [H]N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])[H]
PJF D-4S-cbxaNEt-Ggaba             [H]N([H])C(=O)[C@@]([H])(N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])[H]
PJG D-4S-cbxaNMe-Ggaba             [H]N([H])C(=O)[C@@]([H])(N(C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])[H]
PJH D-4S-iodz3me-Ggaba             [H]N(C(=O)C([H])([H])C([H])([H])[C@@]([H])(C1=NC(C([H])([H])[H])=NO1)N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
PJI D-4S-mee-Ggaba                 [H]N(C(=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])OC([H])([H])[H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
POO D-4S-Vigabatrin-Ggaba          [H]C([H])=C([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])[H]
POP D-SR-gabafutin-Ggaba           [H]C1=C([H])[C@@]2([H])C([H])([H])[C@@](C([H])([H])C(=O)N([H])C([H])([H])[H])(C([H])([H])N([H])C(=O)C([H])([H])[H])[C@@]2([H])C1([H])[H]
MOA L-1R2S-BAMP-Ggaba              [H]N(C(=O)[C@]1([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
MOB L-1R2S-CAMP-Ggaba              [H]N(C(=O)[C@]1([H])C([H])([H])[C@]1([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
MOC L-1R3R-TACP-Ggaba              [H]N(C(=O)[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C1([H])[H])C([H])([H])[H]
MOD L-1S4R-ACPECA-Ggaba            [H]C1=C([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[C@]1([H])C(=O)N([H])C([H])([H])[H]
MRA L-2R3R4R-alphaMedeltaPhg-Ggaba [H]c1c([H])c([H])c([C@]([H])(N([H])C(=O)C([H])([H])[H])[C@]2([H])C([H])([H])[C@]2(C(=O)N([H])C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
MRB L-2R3R4R-betaMedeltaPhg-Ggaba  [H]c1c([H])c([H])c([C@]([H])(N([H])C(=O)C([H])([H])[H])[C@]2(C([H])([H])[H])C([H])([H])[C@@]2([H])C(=O)N([H])C([H])([H])[H])c([H])c1[H]
MRC L-2R3R4R-deltaPhg-Ggaba        [H]c1c([H])c([H])c([C@]([H])(N([H])C(=O)C([H])([H])[H])[C@]2([H])C([H])([H])[C@@]2([H])C(=O)N([H])C([H])([H])[H])c([H])c1[H]
MOE L-2R-MeGABA-Ggaba              [H]N(C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
MJA L-2S-aminohexaOHACP-Ggaba      [H]O[C@]1([H])[C@]([H])(O[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]([H])(O[H])[C@@](O[H])(C(=O)N([H])C([H])([H])[H])[C@]1([H])O[H]
MRD L-3R4S-Hapastatine-Ggaba       [H]O[C@]([H])(C([H])([H])C(=O)N([H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
MOF L-3R-PECA-Ggaba                [H]N(C(=O)C([H])([H])[C@@]1([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]
MRE L-3R-Phenibut-Ggaba            [H]c1c([H])c([H])c([C@@]([H])(C([H])([H])C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H]
MJB L-3S4R-Norstatine-Ggaba        [H]O[C@@]([H])(C([H])([H])C(=O)N([H])C([H])([H])[H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
MJC L-3S4S-Cyclohexylstatine-Ggaba [H]O[C@@]([H])(C([H])([H])C(=O)N([H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
MJD L-3S4S-Isostatine-Ggaba        [H]O[C@@]([H])(C([H])([H])C(=O)N([H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
MJE L-3S4S-Statine-Ggaba           [H]O[C@@]([H])(C([H])([H])C(=O)N([H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
MOG L-3S5S-isoCAMP-Ggaba           [H]N(C(=O)C([H])([H])[C@]1([H])C([H])([H])[C@]1([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
MOH L-3S6S-isoBAMP-Ggaba           [H]N(C(=O)C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[C@]1([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
MOI L-3S-PECA-Ggaba                [H]N(C(=O)C([H])([H])[C@@]1([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[H]
MOJ L-3S-Pregabalin-Ggaba          [H]N(C(=O)C([H])([H])[C@@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
